Youtube (No Shorts),"All YouTube (via Tubular, Shorts, inc)",Instagram,Facebook,Twitter,Snapchat,TikTok,Stat Type,Stat Value,Account
0.066,0.045,0.084,,0.16,0.36,,Age,13-17,Overtime Main
0.34,0.265,0.406,0.185,0.4,0.39,0.395,Age,18-24,Overtime Main
0.235,0.29,0.304,0.439,0.19,0.18,0.306,Age,25-34,Overtime Main
0.194,0.219,0.121,0.191,0.11,0.07,0.182,Age,35-44,Overtime Main
0.165,0.181,0.085,0.185,0.14,,0.117,Age,45+,Overtime Main
26.0,30.0,24.0,0.92,27.0,20.0,24.0,Age,Median Age,Overtime Main
0.406,0.31,0.49,0.185,0.56,0.75,0.395,Combined_Age,13-24,Overtime Main
0.641,0.6,0.794,0.624,0.75,0.93,0.701,Combined_Age,13-34,Overtime Main
0.1541829471,0.1135714286,0.174,0.07870749721,0.1714285714,0.1671428571,0.1692857143,Combined_Age,18-21,Overtime Main
0.575,0.555,0.71,0.624,0.59,0.57,0.701,Combined_Age,18-34,Overtime Main
0.934,0.955,0.916,1.0,0.84,0.64,1.0,Combined_Age,18+,Overtime Main
0.4292857143,0.4414285714,0.536,0.5447142857,0.4185714286,0.4028571429,0.5317142857,Combined_Age,21-34,Overtime Main
0.7798170529,0.8414285714,0.742,0.9212925028,0.6685714286,0.4728571429,0.8307142857,Combined_Age,21+,Overtime Main
0.594,0.69,0.51,0.815,0.44,0.25,0.605,Combined_Age,25+,Overtime Main
0.759,0.79,0.833,0.8174,0.76,0.92,0.62,Gender,Male,Overtime Main
0.241,0.21,0.167,0.1826,0.24,0.08,0.38,Gender,Female,Overtime Main
0.62,0.22,0.511,0.3763048695,0.78,0.82,0.652,Geography,US,Overtime Main
0.38,0.78,0.489,0.6236951305,0.22,0.18,0.348,Geography,Int'l,Overtime Main
3870000.0,,10453242.0,2335924.0,1741911.0,9588660.0,29613885.0,Total Followers,All Followers,Overtime Main
1470600.0,,5111635.0,1456904.0,383220.0,1725958.0,10305631.0,Total Followers,International,Overtime Main
932670.0,,1745691.414,426539.7224,418058.64,767092.8,11253276.3,Total Followers,Female,Overtime Main
0.06654143256,0.05451366445,0.1228848701,0,0.16,0.36,,Age,13-17,Cross Channel
0.3584968672,0.3019499516,0.4135014134,0.1836508268,0.4,0.39,0.4704155232,Age,18-24,Cross Channel
0.2369337202,0.2715100104,0.2673035198,0.4267776516,0.19,0.18,0.2827350207,Age,25-34,Cross Channel
0.1833568787,0.191600703,0.1143547058,0.2022479461,0.11,0.07,0.1476158294,Age,35-44,Cross Channel
0.1546711013,0.1804256705,0.08195549097,0.1873235755,0.14,,0.09923362667,Age,45+,Cross Channel
25.0,29.0,23.0,29.0,23.0,20.0,24.0,Age,Median Age,Cross Channel
0.4250382998,0.3564636161,0.5363862835,0.1836508268,0.56,0.75,0.4704155232,Combined_Age,13-24,Cross Channel
0.66197202,0.6279736264,0.8036898033,0.6104284784,0.75,0.93,0.7531505439,Combined_Age,13-34,Cross Channel
,,,,,,,Combined_Age,18-21,Cross Channel
0.5954305874,0.573459962,0.6808049331,0.6104284784,0.59,0.57,0.7531505439,Combined_Age,18-34,Cross Channel
0.9334585674,0.9454863356,0.8771151299,1,0.84,0.64,1,Combined_Age,18+,Cross Channel
0.4417890729,0.4440528399,0.5035900417,0.5317209812,0.4185714286,0.4028571429,0.5515438911,Combined_Age,21-34,Cross Channel
0.7798170529,0.8160792134,0.6999002385,0.9212925028,0.6685714286,0.4728571429,0.7983933472,Combined_Age,21+,Cross Channel
0.5749617002,0.6435363839,0.4636137165,0.8163491732,0.44,0.25,0.5295844768,Combined_Age,25+,Cross Channel
0.8001824297,0.8108894076,0.8562357636,0.8357687458,0.8,0.92,0.7126992672,Gender,Male,Cross Channel
0.1998175703,0.1891105924,0.1437642364,0.1642312542,0.2,0.08,0.2873007328,Gender,Female,Cross Channel
0.657564106,0.4130988797,0.5176365128,0.3763048695,0.78,0.82,0.6580705624,Geography,US,Cross Channel
0.342435894,0.5869011203,0.4823634872,0.6236951305,0.22,0.18,0.3419294376,Geography,Int'l,Cross Channel
7470468.0,,25424922.0,2806384.0,1931762.0,10851400.0,64467064.0,Total Followers,All Followers,Cross Channel
2558156.388,,12264054.04,1750328.035,424987.64,1953252.0,22043186.94,Total Followers,International,Cross Channel
1492730.764,,3655194.497,460895.964,386352.4,868112.0,18521434.73,Total Followers,Female,Cross Channel
0.052,0.061,0.119,,,,,Age,13-17,Overtime SZN
0.375,0.351,0.419,,,,0.482,Age,18-24,Overtime SZN
0.262,0.285,0.278,,,,0.259,Age,25-34,Overtime SZN
0.183,0.182,0.109,,,,0.151,Age,35-44,Overtime SZN
0.128,0.121,0.075,,,,0.108,Age,45+,Overtime SZN
27.0,27.0,23.0,,,,24.0,Age,Median Age,Overtime SZN
0.427,0.412,0.538,,,,0.482,Combined_Age,13-24,Overtime SZN
0.689,0.697,0.816,,,,0.741,Combined_Age,13-34,Overtime SZN
0.637,0.636,0.697,,,,0.741,Combined_Age,18-34,Overtime SZN
0.948,0.939,0.881,,,,1.0,Combined_Age,18+,Overtime SZN
0.4762857143,0.4855714286,0.5174285714,,,,0.5344285714,Combined_Age,21-34,Overtime SZN
0.7872857143,0.7885714286,0.7014285714,,,,0.7934285714,Combined_Age,21+,Overtime SZN
0.573,0.588,0.462,,,,0.518,Combined_Age,25+,Overtime SZN
0.854,0.89,0.902,,,,0.62,Gender,Male,Overtime SZN
0.146,0.11,0.098,,,,0.38,Gender,Female,Overtime SZN
1030000.0,,2100157.0,,,116000.0,4302911.0,Total Followers,All Followers,Overtime SZN
,,0.147,,,,,Age,13-17,Overtime FC
