Sport/League Name,Metric Type,OT Fans,OT Index,Category,Source
Football,Avid Fandom,0.7716,155,Sports,Overtime Audience Survey on Sports Fandom 2024
Basketball,Avid Fandom,0.7284,250,Sports,Overtime Audience Survey on Sports Fandom 2024
MMA/UFC,Avid Fandom,0.5617,217,Sports,Overtime Audience Survey on Sports Fandom 2024
Boxing,Avid Fandom,0.5555,299,Sports,Overtime Audience Survey on Sports Fandom 2024
Baseball,Avid Fandom,0.5247,189,Sports,Overtime Audience Survey on Sports Fandom 2024
Soccer,Avid Fandom,0.5247,264,Sports,Overtime Audience Survey on Sports Fandom 2024
Gaming (e-sports),Avid Fandom,0.4876,210,Sports,Overtime Audience Survey on Sports Fandom 2024
Wrestling,Avid Fandom,0.3889,294,Sports,Overtime Audience Survey on Sports Fandom 2024
Motorsports,Avid Fandom,0.3857,275,Sports,Overtime Audience Survey on Sports Fandom 2024
Ice Hockey,Avid Fandom,0.3827,263,Sports,Overtime Audience Survey on Sports Fandom 2024
Golf,Avid Fandom,0.3272,380,Sports,Overtime Audience Survey on Sports Fandom 2024
Volleyball,Avid Fandom,0.2901,487,Sports,Overtime Audience Survey on Sports Fandom 2024
Tennis,Avid Fandom,0.2839,330,Sports,Overtime Audience Survey on Sports Fandom 2024
Softball,Avid Fandom,0.2531,382,Sports,Overtime Audience Survey on Sports Fandom 2024
Lacrosse,Avid Fandom,0.1605,606,Sports,Overtime Audience Survey on Sports Fandom 2024
Pickleball,Avid Fandom,0.1543,388,Sports,Overtime Audience Survey on Sports Fandom 2024
Rugby,Avid Fandom,0.1543,389,Sports,Overtime Audience Survey on Sports Fandom 2024
Cricket,Avid Fandom,0.1111,240,Sports,Overtime Audience Survey on Sports Fandom 2024
Football,Watch Live,0.9583,102,Sports,Overtime Audience Survey on Sports Fandom 2024
Basketball,Watch Live,0.9321,115,Sports,Overtime Audience Survey on Sports Fandom 2024
MMA/UFC,Watch Live,0.975,119,Sports,Overtime Audience Survey on Sports Fandom 2024
Boxing,Watch Live,0.9231,111,Sports,Overtime Audience Survey on Sports Fandom 2024
Baseball,Watch Live,0.9231,104,Sports,Overtime Audience Survey on Sports Fandom 2024
Soccer,Watch Live,0.918,114,Sports,Overtime Audience Survey on Sports Fandom 2024
Gaming (e-sports),Watch Live,0.9279,122,Sports,Overtime Audience Survey on Sports Fandom 2024
Wrestling,Watch Live,0.8952,106,Sports,Overtime Audience Survey on Sports Fandom 2024
Motorsports,Watch Live,0.8776,110,Sports,Overtime Audience Survey on Sports Fandom 2024
Ice Hockey,Watch Live,0.9583,118,Sports,Overtime Audience Survey on Sports Fandom 2024
Golf,Watch Live,0.871,105,Sports,Overtime Audience Survey on Sports Fandom 2024
Volleyball,Watch Live,0.8125,143,Sports,Overtime Audience Survey on Sports Fandom 2024
Tennis,Watch Live,0.907,128,Sports,Overtime Audience Survey on Sports Fandom 2024
Softball,Watch Live,0.7805,113,Sports,Overtime Audience Survey on Sports Fandom 2024
Lacrosse,Watch Live,0.7143,119,Sports,Overtime Audience Survey on Sports Fandom 2024
Pickleball,Watch Live,0.6032,133,Sports,Overtime Audience Survey on Sports Fandom 2024
